ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,96640.2
1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,89252.0
0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,69766.6
1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,65827.4
0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,93229.6
0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,80893.0
1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,60354.4
1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,71712.8
0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,67452.4
1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,76732.6
0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,66729.4
0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,82011.2
1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,79909.6
1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,84700.0
0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,65070.8
1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,91554.6
0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,85730.4
1,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,88484.4
0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,82338.0
1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,73213.2
1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,66122.8
0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,86334.6
1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,65785.8
0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,64900.4
1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,95927.4
0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,74502.6
